Date,Open,High,Low,Close,Adj Close,Volume
2020/3/2,27,30.75,25.209999,29.879999,29.879999,33084000
2020/3/3,27.804001,28.6,26.6,27.91,27.91,17599100
2020/3/4,27.99,28.719999,26.799999,27.49,27.49,11817700
2020/3/5,27.49,28.950001,26.535,28.01,28.01,14670000
2020/3/6,27.98,29.799999,27.67,29.610001,29.610001,21097500
2020/3/9,30,30,24.16,24.290001,24.290001,14124100
2020/3/10,25.709999,25.940001,21.280001,22.34,22.34,13019500
2020/3/11,22.540001,25.749001,22.524,23.610001,23.610001,14809600
2020/3/12,22.9,24.280001,21.9,22.299999,22.299999,11305300
2020/3/13,23,23.469999,19.309999,21.299999,21.299999,11853100
2020/3/16,23.76,27.799999,22.219999,26.49,26.49,39850800
2020/3/17,29.360001,32.700001,27.315001,28.18,28.18,44484100
2020/3/18,27.129999,32.540001,26.549999,31.58,31.58,28702300
2020/3/19,32.779999,34.98,25.190001,28.27,28.27,36952800
2020/3/20,29.25,30.23,26.200001,28.200001,28.200001,16522400
2020/3/23,28.709999,29.809999,26.25,26.57,26.57,11080800
2020/3/24,27.09,27.25,24.360001,25.82,25.82,12550500
2020/3/25,25,27.98,24.790001,27.129999,27.129999,9651500
2020/3/26,27.559999,28.790001,27.559999,27.940001,27.940001,5570800
2020/3/27,28.370001,31.09,27.950001,30.049999,30.049999,12408300
2020/3/30,30.59,31.690001,28.27,30.48,30.48,10749900
2020/3/31,30.6,30.98,29.200001,29.950001,29.950001,6022100
2020/4/1,30.049999,30.940001,29.440001,29.67,29.67,7004600
2020/4/2,30.6,33.389999,29.84,33.200001,33.200001,15934400
2020/4/3,32.810001,35.66,32.720001,34.84,34.84,16896200
2020/4/6,34.91,35.185001,33.330002,34.639999,34.639999,10841600
2020/4/7,33.810001,34.029999,30.98,32.02,32.02,10104300
2020/4/8,32.360001,32.939999,31.75,32.419998,32.419998,4119800
2020/4/9,32.549999,32.919998,31.32,31.860001,31.860001,4861800
2020/4/13,32,32.98,31.709999,32.900002,32.900002,5603900
2020/4/14,34,34.990002,33.150002,34.66,34.66,8126900
2020/4/15,34.639999,38.450001,33.720001,37.25,37.25,15683000
2020/4/16,38.074001,41.549999,36.619999,40.599998,40.599998,20670700
2020/4/17,48.990002,49,43.380001,46.849998,46.849998,32286000
2020/4/20,45,54.950001,44.509998,51.689999,51.689999,34102500
2020/4/21,53,56.380001,43.110001,49.259998,49.259998,39642000
2020/4/22,50.610001,51.82,49.060001,51.200001,51.200001,11690400
2020/4/23,49.099998,50.700001,46.889999,47.439999,47.439999,15152400
2020/4/24,47.150002,50.5,47.141998,50.5,50.5,11712500
2020/4/27,51.529999,51.700001,47.299999,48.049999,48.049999,13744400
2020/4/28,50.400002,50.450001,47.169998,47.880001,47.880001,13067200
2020/4/29,46.599998,46.950001,45.009998,46.369999,46.369999,11762000
2020/4/30,46.779999,48.369999,45.82,45.990002,45.990002,7741900
2020/5/1,48.709999,50.450001,46.290001,47.93,47.93,21701300
2020/5/4,48.049999,50.5,48,50.5,50.5,10460500
2020/5/5,50.48,50.959999,47.23,49.34,49.34,11160200
2020/5/6,48.450001,49.25,47.52,48.950001,48.950001,6692300
2020/5/7,55.779999,55.990002,51.060001,53.189999,53.189999,30942700
2020/5/8,53.060001,59.880001,52.150002,59.25,59.25,24135500
2020/5/11,59.599998,67.669998,59.139999,66.900002,66.900002,34852000
2020/5/12,65.989998,68.489998,62.02,62.349998,62.349998,25934500
2020/5/13,63.799999,66.970001,60.290001,65.18,65.18,22126000
2020/5/14,64.790001,65.389999,61.439999,64.559998,64.559998,12198200
2020/5/15,63.790001,67.669998,63.009998,66.690002,66.690002,16341900
2020/5/18,86.139999,87,75.660004,80,80,81209400
2020/5/19,78.07,79.75,70.32,71.669998,71.669998,64932300
2020/5/20,70.010002,74.480003,67.410004,73.470001,73.470001,53655300
2020/5/21,73.050003,73.160004,65.309998,67.050003,67.050003,35318000
2020/5/22,69.93,70.599998,67.139999,69,69,28912700
2020/5/26,66.400002,66.589996,57.049999,57.709999,57.709999,40253200
2020/5/27,51.200001,53.34,46.130001,52.18,52.18,59514700
2020/5/28,53.5,59.110001,53.349998,55.540001,55.540001,32258900
2020/5/29,57.450001,61.650002,56.560001,61.5,61.5,38224900
2020/6/1,62.759998,63.900002,60.509998,62.18,62.18,21257500
2020/6/2,58.700001,59.950001,55.355,59.869999,59.869999,21701100
2020/6/3,57.509998,63.369999,57.099998,59.889999,59.889999,20811500
2020/6/4,61.610001,61.93,58.52,60.59,60.59,13504000
2020/6/5,58.490002,59.189999,56.630001,58.189999,58.189999,14677900
2020/6/8,58.299999,59.380001,56.720001,59.099998,59.099998,11249300
2020/6/9,58.549999,59.404999,57.73,58.23,58.23,7600200
2020/6/10,58.799999,60.720001,58.599998,60.07,60.07,11074400
2020/6/11,62.950001,66.686996,58.77,60.200001,60.200001,32085200
2020/6/12,62.355,63.630001,60.290001,62,62,14710700
2020/6/15,65.900002,66.980003,63.424,66.57,66.57,19339300
2020/6/16,66.309998,66.599998,62.599998,64.339996,64.339996,16537800
2020/6/17,63.599998,65.879997,62.580002,63.310001,63.310001,13589700
2020/6/18,63.029999,65.400002,62.580002,64.949997,64.949997,10914400
2020/6/19,64.989998,66.449997,64.010002,66.349998,66.349998,16076700
2020/6/22,65.919998,66.290001,62.119999,64.75,64.75,13586400
2020/6/23,64.099998,65.080002,62.740002,62.939999,62.939999,12361300
2020/6/24,63.23,66.155998,63.139999,64.839996,64.839996,14377100
2020/6/25,67,67,58.509998,62,62,26905700
2020/6/26,60.709999,62.290001,59.139999,61.279999,61.279999,13866300
2020/6/29,61.82,63,59.400002,62.080002,62.080002,8074200
2020/6/30,62.18,65.158997,61.799999,64.209999,64.209999,11955200
2020/7/1,63,63.73,59.119999,61.59,61.59,17916500
2020/7/2,60,61.799999,55.810001,58.57,58.57,26544400
2020/7/6,58.549999,60.73,57.099998,59.150002,59.150002,9977300
2020/7/7,58.799999,61.5,57.439999,61.09,61.09,8904300
2020/7/8,60.790001,62.459999,59.450001,61.580002,61.580002,7590900
2020/7/9,62.09,65.349998,58.880001,64.959999,64.959999,20646100
2020/7/10,64.650002,64.93,62.32,62.610001,62.610001,7407500
2020/7/13,63.889999,77.75,63.799999,71.779999,71.779999,56617300
2020/7/14,74,76.948997,70.620003,75.040001,75.040001,38708800
2020/7/15,87.519997,88.370003,78.010002,80.220001,80.220001,90756100
2020/7/16,80.160004,84.290001,79.599998,81.809998,81.809998,27277400
2020/7/17,83.349998,95.209999,82.610001,94.849998,94.849998,103509200
2020/7/20,87.860001,90.849998,78.050003,82.68,82.68,78391300
2020/7/21,80.910004,82.43,79.07,80.860001,80.860001,26185600
2020/7/22,79.610001,84.120003,79.110001,83.224998,83.224998,27274000
2020/7/23,82.050003,82.68,72.199997,75.330002,75.330002,29288100
2020/7/24,69.050003,73.900002,66.540001,73.209999,73.209999,27797500
2020/7/27,80.629997,80.980003,76.160004,79.910004,79.910004,44710700
2020/7/28,81,83.849998,79.5,81.489998,81.489998,32946900
2020/7/29,81.980003,82.82,76.550003,79.510002,79.510002,24453900
2020/7/30,78,79.25,76.800003,77.629997,77.629997,13102000
2020/7/31,78.199997,78.440002,73.603996,74.099998,74.099998,14223400
2020/8/3,74.980003,77.989998,73.029999,77.980003,77.980003,13382300
2020/8/4,78.192001,78.620003,75.5,78.459999,78.459999,10126500
2020/8/5,77.489998,77.489998,73.690002,75.800003,75.800003,19859900
2020/8/6,75.790001,76.25,73.120003,73.760002,73.760002,11691500
2020/8/7,74.379997,75.389999,73.010002,74.099998,74.099998,8771400
2020/8/10,74.269997,75,71.410004,72.010002,72.010002,8678300
2020/8/11,69.519997,71.400002,67,68.970001,68.970001,18118700
2020/8/12,75.669998,75.75,68.300003,69.519997,69.519997,50471500
2020/8/13,69.089996,69.18,67.050003,67.830002,67.830002,15055900
2020/8/14,68.059998,70.360001,67.860001,69.150002,69.150002,12799600
2020/8/17,69.139999,70.779999,68.379997,69.760002,69.760002,8749100
2020/8/18,68.279999,69.699997,65.230003,67.029999,67.029999,11329200
2020/8/19,66.739998,69.169998,66.599998,68,68,8558800
2020/8/20,67.790001,68,66.629997,67.809998,67.809998,6346700
2020/8/21,67.5,68.019997,65.599998,66.449997,66.449997,6935600
2020/8/24,67.150002,67.849998,62.880001,64.879997,64.879997,13143200
2020/8/25,64.32,66.695999,63.549999,66.25,66.25,7798500
2020/8/26,67.620003,71.639999,66.029999,70.5,70.5,28768100
2020/8/27,69.980003,70.32,67.010002,68.029999,68.029999,9262600
2020/8/28,68.040001,68.949997,67.150002,67.489998,67.489998,6383700
2020/8/31,67.139999,67.199997,62.540001,64.889999,64.889999,15271800
2020/9/1,63.540001,64.5,62.5,63.32,63.32,8200700
2020/9/2,62.84,64.889999,61.381001,64.720001,64.720001,9874600
2020/9/3,65.650002,69.349998,64.300003,64.839996,64.839996,14307300
2020/9/4,64.989998,65,59.009998,62.599998,62.599998,11653300
2020/9/8,57.75,58.599998,54.209999,54.34,54.34,17706200
2020/9/9,56.029999,57.189999,54.509998,56.900002,56.900002,9355400
2020/9/10,57.041,60.32,56.869999,57.560001,57.560001,7985300
2020/9/11,58.490002,59.509998,57.450001,59.34,59.34,4821900
2020/9/14,60.150002,63.849998,60.115002,63.669998,63.669998,8930800
2020/9/15,65.027,68.410004,64.228996,66.879997,66.879997,9101200
2020/9/16,67.639999,70.040001,66.730003,68.839996,68.839996,11345200
2020/9/17,68.5,70.900002,64.599998,67.889999,67.889999,13275200
2020/9/18,68.279999,70,66.099998,69.870003,69.870003,13206200
2020/9/21,68.599998,69.480003,65.459999,69.260002,69.260002,8223000
2020/9/22,67.5,69.190002,66.669998,68.720001,68.720001,6303600
2020/9/23,67.864998,68.620003,65.769997,67.160004,67.160004,6919400
2020/9/24,65.5,66.769997,63.639999,65.169998,65.169998,5565200
2020/9/25,65.887001,69.730003,65.669998,69.470001,69.470001,9190600
2020/9/28,69.589996,71.5,69.099998,70.550003,70.550003,7337400
2020/9/29,70.459999,71.339996,69.584999,70.519997,70.519997,6027600
2020/9/30,72.510002,75.389999,70.160004,70.75,70.75,15640800
2020/10/1,69.57,70.199997,68.160004,70.029999,70.029999,6839000
2020/10/2,67.900002,72.769997,67.25,68.809998,68.809998,8004900
2020/10/5,69.639999,72.019997,69.050003,71.949997,71.949997,6518100
2020/10/6,72,73.919998,70.309998,71.040001,71.040001,7285500
2020/10/7,71.230003,73.239998,70.959,72.370003,72.370003,4190600
2020/10/8,73.5,73.760002,72.010002,72.93,72.93,4023800
2020/10/9,73.419998,73.669998,72.389999,73,73,4774000
2020/10/12,73.610001,75.850998,72.919998,75.309998,75.309998,7590800
2020/10/13,75.93,81.370003,75.519997,78.290001,78.290001,13669200
2020/10/14,80.010002,80.010002,76.324997,76.559998,76.559998,6643800
2020/10/15,75.480003,76.489998,73.709999,75.580002,75.580002,5009100
2020/10/16,76.059998,76.93,73.665001,73.940002,73.940002,4693600
2020/10/19,73.970001,74.089996,70.5,70.959999,70.959999,6931300
2020/10/20,72.07,73.099998,70.650002,71.309998,71.309998,5441300
2020/10/21,71.57,71.578003,68.059998,68.370003,68.370003,4614800
2020/10/22,68.503998,72.529999,68.400002,70.839996,70.839996,5212100
2020/10/23,72.300003,72.400002,68.800003,70.529999,70.529999,3735100
2020/10/26,70.360001,71.32,68.699997,70.239998,70.239998,3872800
2020/10/27,70.449997,71.349998,68.809998,70.669998,70.669998,3812900
2020/10/28,68.949997,69.470001,65.489998,65.739998,65.739998,6044000
2020/10/29,68.349998,74.539001,66.230003,71.279999,71.279999,13776400
